Date,Category,Cat_Detail,Cat_CaseCount,Cat_Percent,CAT_DEATHCOUNT,CAT_DEATHPERCENT
04-08-20,RACE,White,1140,0.261348005502063,,
04-08-20,RACE,Black or African American,320,7.3360843649701996E-2,,
04-08-20,RACE,Other/Multiracial,106,2.4300779458963799E-2,,
04-08-20,RACE,Asian,32,7.3360843649702004E-3,,
04-08-20,RACE,Pending,2764,0.63365428702430104,,
04-08-20,ETHNICITY,Not Hispanic or Latino,2349,0.53851444291609396,,
04-08-20,ETHNICITY,Hispanic,155,3.5534158642824401E-2,,
04-08-20,ETHNICITY,Pending,1858,0.42595139844108199,,
04-08-20,SEX,Female,2247,0.51513067400275103,,
04-08-20,SEX,Male,2028,0.49127906976744201,,
04-08-20,SEX,Pending,87,3.1430635838150298E-2,,
04-09-20,RACE,White,2013,0.43439792835563201,,
04-09-20,RACE,Black or African American,668,0.127773527161438,,
04-09-20,RACE,Other/Multiracial,186,3.9207419898819602E-2,,
04-09-20,RACE,Asian,51,7.9675050773316703E-3,,
04-09-20,RACE,Pending,1716,0.19615912208504799,,
04-09-20,ETHNICITY,Not Hispanic or Latino,2607,0.56258092360811396,,
04-09-20,ETHNICITY,Hispanic,184,3.97065170479068E-2,,
04-09-20,ETHNICITY,Pending,1843,0.39771255934397898,,
04-09-20,SEX,Female,2398,0.51747949935261095,,
04-09-20,SEX,Male,2155,0.46504100129477799,,
04-09-20,SEX,Pending,81,1.7479499352611099E-2,,
04-10-20,RACE,White,2305,0.47408473879062102,,
04-10-20,RACE,Black or African American,803,0.16515837104072401,,
04-10-20,RACE,Other/Multiracial,224,4.6071575483340198E-2,,
04-10-20,RACE,Asian,61,1.25462772521596E-2,,
04-10-20,RACE,Pending,1469,0.30213903743315501,,
04-10-20,ETHNICITY,Not Hispanic or Latino,2806,0.57712875359934201,,
04-10-20,ETHNICITY,Hispanic,204,4.1958041958042001E-2,,
04-10-20,ETHNICITY,Pending,1852,0.380913204442616,,
04-10-20,SEX,Female,2514,0.51707116412998799,,
04-10-20,SEX,Male,2267,0.46626902509255502,,
04-10-20,SEX,Pending,81,1.66598107774578E-2,,
04-11-20,RACE,White,2305,0.45072350410637502,,
04-11-20,RACE,Black or African American,801,0.15662886194759501,,
04-11-20,RACE,Other/Multiracial,224,4.3801329683222499E-2,,
04-11-20,RACE,Asian,61,1.1928040672663299E-2,,
04-11-20,RACE,Pending,1723,0.33691826359014498,,
04-11-20,ETHNICITY,Not Hispanic or Latino,2940,0.574892452092296,,
04-11-20,ETHNICITY,Hispanic,225,4.3996871333594097E-2,,
04-11-20,ETHNICITY,Pending,1949,0.38111067657411002,,
04-11-20,SEX,Female,2651,0.51838091513492401,,
04-11-20,SEX,Male,2372,0.46382479468126703,,
04-11-20,SEX,Pending,91,1.7794290183809201E-2,,
04-12-20,RACE,White,2504,0.45419916560856199,,
04-12-20,RACE,Black or African American,922,0.16724106656992599,,
04-12-20,RACE,Other/Multiracial,266,4.8249591873752898E-2,,
04-12-20,RACE,Asian,73,1.32414293488119E-2,,
