Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
04/13/2020,Albany,36,535,216,5756
04/13/2020,Allegany,2,28,14,294
04/13/2020,Bronx,1061,23266,2294,45492
04/13/2020,Broome,13,146,90,1038
04/13/2020,Cattaraugus,4,32,13,383
04/13/2020,Cayuga,3,33,52,567
04/13/2020,Chautauqua,0,23,8,505
04/13/2020,Chemung,4,64,40,782
04/13/2020,Chenango,3,68,36,397
04/13/2020,Clinton,1,45,23,443
04/13/2020,Columbia,4,84,30,703
04/13/2020,Cortland,2,22,38,761
04/13/2020,Delaware,3,45,48,378
04/13/2020,Dutchess,53,1934,566,8342
04/13/2020,Erie,44,1668,223,6952
04/13/2020,Essex,0,12,24,179
04/13/2020,Franklin,1,13,13,212
04/13/2020,Fulton,1,22,75,384
04/13/2020,Genesee,5,76,34,518
04/13/2020,Greene,21,66,93,544
04/13/2020,Hamilton,0,3,0,20
04/13/2020,Herkimer,1,39,26,390
04/13/2020,Jefferson,1,47,37,1060
04/13/2020,Kings,902,29306,2055,57245
04/13/2020,Lewis,1,7,11,180
04/13/2020,Livingston,1,31,20,357
04/13/2020,Madison,3,104,50,753
04/13/2020,Monroe,27,850,304,7598
04/13/2020,Montgomery,3,32,56,331
04/13/2020,Nassau,892,25250,2283,56307
04/13/2020,New York,379,14880,1206,36449
04/13/2020,Niagara,8,197,48,973
04/13/2020,Oneida,23,229,100,1488
04/13/2020,Onondaga,15,431,120,6007
04/13/2020,Ontario,4,61,48,766
04/13/2020,Orange,396,5578,1161,16139
04/13/2020,Orleans,5,31,18,282
04/13/2020,Oswego,3,41,74,902
04/13/2020,Otsego,1,44,90,655
04/13/2020,Putnam,56,558,217,2078
04/13/2020,Queens,1068,35053,2430,63845
04/13/2020,Rensselaer,7,120,79,1811
04/13/2020,Richmond,292,7960,725,18130
04/13/2020,Rockland,370,8335,779,18913
04/13/2020,Saratoga,23,224,193,2833
04/13/2020,Schenectady,31,235,232,2057
04/13/2020,Schoharie,8,20,59,293
04/13/2020,Schuyler,1,6,11,164
04/13/2020,Seneca,2,18,33,233
04/13/2020,St. Lawrence,3,92,29,1039
