Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
03/02/2020,Albany,0,0,0,0
03/03/2020,Albany,0,0,0,0
03/04/2020,Albany,0,0,0,0
03/05/2020,Albany,0,0,3,3
03/06/2020,Albany,0,0,0,3
03/07/2020,Albany,0,0,5,8
03/08/2020,Albany,0,0,2,10
03/09/2020,Albany,0,0,3,13
03/10/2020,Albany,0,0,2,15
03/11/2020,Albany,0,0,13,28
03/12/2020,Albany,1,1,11,39
03/13/2020,Albany,2,3,26,65
03/14/2020,Albany,3,6,108,173
03/15/2020,Albany,6,12,108,281
03/16/2020,Albany,11,23,140,421
03/17/2020,Albany,13,36,267,688
03/18/2020,Albany,7,43,331,1019
03/19/2020,Albany,18,61,450,1469
03/20/2020,Albany,27,88,499,1968
03/21/2020,Albany,35,123,577,2545
03/22/2020,Albany,4,127,197,2742
03/23/2020,Albany,19,146,144,2886
03/24/2020,Albany,6,152,198,3084
03/25/2020,Albany,19,171,93,3177
03/26/2020,Albany,16,187,112,3289
03/27/2020,Albany,8,195,101,3390
03/28/2020,Albany,10,205,73,3463
03/29/2020,Albany,12,217,61,3524
03/30/2020,Albany,9,226,72,3596
03/31/2020,Albany,14,240,108,3704
04/01/2020,Albany,13,253,106,3810
04/02/2020,Albany,14,267,105,3915
04/03/2020,Albany,26,293,123,4038
04/04/2020,Albany,12,305,117,4155
04/05/2020,Albany,14,319,89,4244
04/06/2020,Albany,14,333,86,4330
04/07/2020,Albany,9,342,74,4404
04/08/2020,Albany,37,379,229,4633
04/09/2020,Albany,47,426,332,4965
04/10/2020,Albany,20,446,159,5124
04/11/2020,Albany,32,478,223,5347
04/12/2020,Albany,21,499,193,5540
04/13/2020,Albany,36,535,216,5756
04/14/2020,Albany,13,548,106,5862
04/15/2020,Albany,33,581,301,6163
04/16/2020,Albany,38,619,273,6436
04/17/2020,Albany,29,648,291,6727
04/18/2020,Albany,34,682,305,7032
04/19/2020,Albany,5,687,103,7135
04/20/2020,Albany,17,704,164,7299
04/21/2020,Albany,33,737,236,7535
04/22/2020,Albany,21,758,178,7713
04/23/2020,Albany,47,805,319,8032
04/24/2020,Albany,94,899,626,8658
04/25/2020,Albany,49,948,402,9060
04/26/2020,Albany,31,979,263,9323
04/27/2020,Albany,30,1009,197,9520
04/28/2020,Albany,58,1067,351,9871
04/29/2020,Albany,98,1165,439,10310
04/30/2020,Albany,39,1204,378,10688
05/01/2020,Albany,34,1238,434,11122
05/02/2020,Albany,20,1258,441,11563
05/03/2020,Albany,29,1287,391,11954
05/04/2020,Albany,7,1294,130,12084
05/05/2020,Albany,27,1321,367,12451
05/06/2020,Albany,27,1348,407,12858
05/07/2020,Albany,36,1384,385,13243
05/08/2020,Albany,32,1416,488,13731
05/09/2020,Albany,16,1432,455,14186
05/10/2020,Albany,24,1456,384,14570
05/11/2020,Albany,23,1479,341,14911
05/12/2020,Albany,15,1494,335,15246
05/13/2020,Albany,15,1509,546,15792
05/14/2020,Albany,29,1538,541,16333
05/15/2020,Albany,34,1572,482,16815
05/16/2020,Albany,7,1579,411,17226
05/17/2020,Albany,31,1610,342,17568
05/18/2020,Albany,45,1655,398,17966
05/19/2020,Albany,27,1682,697,18663
05/20/2020,Albany,18,1700,650,19313
05/21/2020,Albany,56,1756,920,20233
05/22/2020,Albany,14,1770,655,20888
05/23/2020,Albany,12,1782,438,21326
05/24/2020,Albany,9,1791,378,21704
05/25/2020,Albany,2,1793,328,22032
05/26/2020,Albany,3,1796,369,22401
05/27/2020,Albany,18,1814,666,23067
05/28/2020,Albany,20,1834,416,23483
05/29/2020,Albany,9,1843,521,24004
05/30/2020,Albany,17,1860,760,24764
05/31/2020,Albany,22,1882,537,25301
06/01/2020,Albany,18,1900,618,25919
06/02/2020,Albany,20,1920,1170,27089
06/03/2020,Albany,10,1930,817,27906
06/04/2020,Albany,11,1941,1179,29085
06/05/2020,Albany,12,1953,1164,30249
06/06/2020,Albany,8,1961,751,31000
06/07/2020,Albany,17,1978,1194,32194
06/08/2020,Albany,5,1983,616,32810
06/09/2020,Albany,3,1986,569,33379
06/10/2020,Albany,10,1996,774,34153
06/11/2020,Albany,11,2007,1103,35256
06/12/2020,Albany,9,2016,739,35995
06/13/2020,Albany,4,2020,874,36869
06/14/2020,Albany,2,2022,496,37365
06/15/2020,Albany,4,2026,577,37942
06/16/2020,Albany,3,2029,592,38534
06/17/2020,Albany,5,2034,843,39377
06/18/2020,Albany,15,2049,1070,40447
06/19/2020,Albany,4,2053,610,41057
06/20/2020,Albany,1,2054,784,41841
06/21/2020,Albany,6,2060,931,42772
06/22/2020,Albany,2,2062,427,43199
06/23/2020,Albany,3,2065,586,43785
06/24/2020,Albany,11,2076,1325,45110
06/25/2020,Albany,8,2084,630,45740
06/26/2020,Albany,7,2091,799,46539
03/02/2020,Allegany,0,0,0,0
03/03/2020,Allegany,0,0,0,0
03/04/2020,Allegany,0,0,0,0
03/05/2020,Allegany,0,0,0,0
03/06/2020,Allegany,0,0,0,0
03/07/2020,Allegany,0,0,0,0
03/08/2020,Allegany,0,0,0,0
03/09/2020,Allegany,0,0,0,0
03/10/2020,Allegany,0,0,0,0
03/11/2020,Allegany,0,0,4,4
03/12/2020,Allegany,0,0,1,5
03/13/2020,Allegany,0,0,0,5
03/14/2020,Allegany,0,0,1,6
03/15/2020,Allegany,2,2,5,11
03/16/2020,Allegany,0,2,1,12
03/17/2020,Allegany,0,2,0,12
03/18/2020,Allegany,0,2,3,15
