Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
05/11/2020,Albany,23,1479,341,14911
05/11/2020,Allegany,4,42,41,846
05/11/2020,Bronx,145,41441,1510,121455
05/11/2020,Broome,1,379,271,5512
05/11/2020,Cattaraugus,0,61,29,1497
05/11/2020,Cayuga,0,60,23,1267
05/11/2020,Chautauqua,1,42,49,1791
05/11/2020,Chemung,0,131,68,2830
05/11/2020,Chenango,1,112,197,1630
05/11/2020,Clinton,1,77,38,1182
05/11/2020,Columbia,0,314,55,2307
05/11/2020,Cortland,1,30,33,1526
05/11/2020,Delaware,0,65,50,1111
05/11/2020,Dutchess,21,3399,216,19528
05/11/2020,Erie,47,4530,696,27437
05/11/2020,Essex,0,32,12,800
05/11/2020,Franklin,0,17,91,767
05/11/2020,Fulton,26,135,100,1313
05/11/2020,Genesee,1,174,77,1884
05/11/2020,Greene,0,206,28,1613
05/11/2020,Hamilton,0,5,0,61
05/11/2020,Herkimer,0,81,42,1318
05/11/2020,Jefferson,0,68,46,2188
05/11/2020,Kings,259,50331,2984,157548
05/11/2020,Lewis,0,11,16,656
05/11/2020,Livingston,0,102,180,1783
05/11/2020,Madison,0,251,17,2148
05/11/2020,Monroe,40,1890,797,24215
05/11/2020,Montgomery,0,67,62,1131
05/11/2020,Nassau,97,38434,1558,119881
05/11/2020,New York,129,24191,1984,94347
05/11/2020,Niagara,16,671,186,5638
05/11/2020,Oneida,7,676,161,6384
05/11/2020,Onondaga,21,1308,329,15851
05/11/2020,Ontario,0,107,74,2699
05/11/2020,Orange,48,9632,516,35323
05/11/2020,Orleans,3,133,31,1010
05/11/2020,Oswego,1,76,53,2135
05/11/2020,Otsego,0,67,62,1883
05/11/2020,Putnam,0,1098,42,5734
05/11/2020,Queens,211,57391,2552,163568
05/11/2020,Rensselaer,5,416,91,4977
05/11/2020,Richmond,22,12769,517,41865
05/11/2020,Rockland,20,12504,368,37882
05/11/2020,Saratoga,4,407,154,6994
05/11/2020,Schenectady,6,581,102,6067
05/11/2020,Schoharie,0,46,32,889
05/11/2020,Schuyler,1,8,17,596
05/11/2020,Seneca,0,49,25,836
05/11/2020,St. Lawrence,1,191,18,3573
05/11/2020,Steuben,1,229,90,3072
05/11/2020,Suffolk,151,37062,1964,117873
05/11/2020,Sullivan,10,1119,95,5085
05/11/2020,Tioga,0,107,35,1410
05/11/2020,Tompkins,0,132,91,5265
05/11/2020,Ulster,11,1465,96,10820
