DATE,AGE_RANGE,AR_TOTALCASES,AR_TOTALPERCENT,AR_NEWCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
05-18-21,0-10 years,47837,0.055671,56,0.094915,5,0
05-18-21,11-20 years,111057,0.129244,83,0.140678,5,0
05-18-21,21-30 years,155340,0.180779,97,0.164407,49,0
05-18-21,31-40 years,133881,0.155806,89,0.150847,136,0
05-18-21,41-50 years,128079,0.149054,78,0.132203,410,2
05-18-21,51-60 years,120666,0.140427,100,0.169492,1087,3
05-18-21,61-70 years,86222,0.100342,48,0.081356,2325,3
05-18-21,71-80 years,49705,0.057845,22,0.037288,3762,3
05-18-21,81+ years,25423,0.029586,17,0.028814,4574,3
05-18-21,Pending,1071,0.001246,0,0,0,0
05-17-21,0-10 years,47781,0.055644,51,0.076807,5,0
05-17-21,11-20 years,110974,0.129236,97,0.146084,5,0
05-17-21,21-30 years,155243,0.18079,126,0.189759,49,0
05-17-21,31-40 years,133792,0.155809,114,0.171687,136,0
05-17-21,41-50 years,128001,0.149065,114,0.171687,408,0
05-17-21,51-60 years,120566,0.140407,85,0.128012,1084,2
05-17-21,61-70 years,86174,0.100355,46,0.069277,2322,5
05-17-21,71-80 years,49683,0.057859,26,0.039157,3759,3
05-17-21,81+ years,25406,0.029587,5,0.007530,4571,2
05-17-21,Pending,1071,0.001247,0,0,0,0
05-16-21,0-10 years,47730,0.055628,23,0.082734,5,0
05-16-21,11-20 years,110877,0.129223,33,0.118705,5,0
05-16-21,21-30 years,155117,0.180783,49,0.176259,49,0
05-16-21,31-40 years,133678,0.155797,48,0.172662,136,1
05-16-21,41-50 years,127887,0.149048,50,0.179856,408,0
05-16-21,51-60 years,120481,0.140416,31,0.111511,1082,2
05-16-21,61-70 years,86128,0.100379,25,0.089928,2317,1
05-16-21,71-80 years,49657,0.057873,17,0.061151,3756,0
05-16-21,81+ years,25401,0.029604,2,0.007194,4569,0
05-16-21,Pending,1071,0.001248,0,0,0,0
05-15-21,0-10 years,47707,0.055619,30,0.074813,5,0
05-15-21,11-20 years,110844,0.129227,58,0.144638,5,0
05-15-21,21-30 years,155068,0.180785,90,0.224439,49,0
05-15-21,31-40 years,133630,0.155791,60,0.149626,135,0
05-15-21,41-50 years,127837,0.149038,54,0.134663,408,0
05-15-21,51-60 years,120450,0.140426,56,0.139651,1080,0
05-15-21,61-70 years,86103,0.100383,26,0.064838,2316,1
05-15-21,71-80 years,49640,0.057872,21,0.052369,3756,0
05-15-21,81+ years,25399,0.029611,6,0.014963,4569,0
05-15-21,Pending,1071,0.001249,0,0,0,0
05-14-21,0-10 years,47677,0.055610,68,0.083951,5,0
05-14-21,11-20 years,110786,0.129219,106,0.130864,5,0
05-14-21,21-30 years,154978,0.180764,168,0.207407,49,0
05-14-21,31-40 years,133570,0.155794,148,0.182716,135,-1
05-14-21,41-50 years,127783,0.149044,126,0.155556,408,1
05-14-21,51-60 years,120394,0.140426,88,0.108642,1080,4
05-14-21,61-70 years,86077,0.100399,63,0.077778,2315,4
05-14-21,71-80 years,49619,0.057875,29,0.035802,3756,0
05-14-21,81+ years,25393,0.029618,14,0.017284,4569,2
05-14-21,Pending,1071,0.001249,0,0,0,0
05-13-21,0-10 years,47609,0.055583,64,0.089762,5,0
05-13-21,11-20 years,110680,0.129218,114,0.159888,5,0
05-13-21,21-30 years,154810,0.180739,145,0.203366,49,0
05-13-21,31-40 years,133422,0.155769,101,0.141655,136,1
05-13-21,41-50 years,127657,0.149038,95,0.13324,407,0
05-13-21,51-60 years,120306,0.140456,100,0.140252,1076,3
05-13-21,61-70 years,86014,0.100421,54,0.075736,2311,1
05-13-21,71-80 years,49590,0.057896,25,0.035063,3756,2
05-13-21,81+ years,25379,0.029630,15,0.021038,4567,0
05-13-21,Pending,1071,0.001250,0,0,0,0
05-12-21,0-10 years,47545,0.055555,80,0.088496,5,0
05-12-21,11-20 years,110566,0.129192,139,0.153761,5,0
05-12-21,21-30 years,154665,0.18072,161,0.178097,49,0
05-12-21,31-40 years,133321,0.155781,145,0.160398,135,3
