DATE,AGE_RANGE,AR_TOTALCASES,AR_TOTALPERCENT,AR_NEWCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
05-10-21,0-10 years,47451,0.055504,64,0.097710,5,0
05-10-21,11-20 years,110421,0.12916,93,0.141985,5,0
05-10-21,21-30 years,154524,0.180747,95,0.145038,48,0
05-10-21,31-40 years,133110,0.155699,103,0.157252,131,1
05-10-21,41-50 years,127427,0.149052,99,0.151145,406,1
05-10-21,51-60 years,120103,0.140485,100,0.152672,1067,3
05-10-21,61-70 years,85887,0.100462,47,0.071756,2309,6
05-10-21,71-80 years,49545,0.057953,29,0.044275,3755,4
05-10-21,81+ years,25371,0.029677,14,0.021374,4566,1
05-10-21,Pending,1079,0.001262,11,0.016794,0,0
05-09-21,0-10 years,47387,0.055471,16,0.041995,5,0
05-09-21,11-20 years,110328,0.12915,66,0.173228,5,0
05-09-21,21-30 years,154429,0.180775,78,0.204724,48,0
05-09-21,31-40 years,133007,0.155698,70,0.183727,130,2
05-09-21,41-50 years,127328,0.14905,65,0.170604,405,2
05-09-21,51-60 years,120003,0.140475,44,0.115486,1064,5
05-09-21,61-70 years,85840,0.100484,28,0.073491,2303,3
05-09-21,71-80 years,49516,0.057963,12,0.031496,3751,5
05-09-21,81+ years,25357,0.029683,2,0.005249,4565,2
05-09-21,Pending,1068,0.001250,0,0,0,0
05-08-21,0-10 years,47371,0.055477,50,0.087719,5,0
05-08-21,11-20 years,110262,0.12913,78,0.136842,5,0
05-08-21,21-30 years,154351,0.180764,105,0.184211,48,0
05-08-21,31-40 years,132937,0.155685,104,0.182456,128,0
05-08-21,41-50 years,127263,0.14904,71,0.124561,403,0
05-08-21,51-60 years,119959,0.140487,70,0.122807,1059,0
05-08-21,61-70 years,85812,0.100496,59,0.103509,2300,0
05-08-21,71-80 years,49504,0.057975,25,0.04386,3746,0
05-08-21,81+ years,25355,0.029694,8,0.014035,4563,0
05-08-21,Pending,1068,0.001251,0,0,0,0
05-07-21,0-10 years,47321,0.055456,81,0.076632,5,0
05-07-21,11-20 years,110184,0.129125,189,0.178808,5,0
05-07-21,21-30 years,154246,0.180762,205,0.193945,48,0
05-07-21,31-40 years,132833,0.155668,174,0.164617,128,0
05-07-21,41-50 years,127192,0.149057,152,0.143803,403,0
05-07-21,51-60 years,119889,0.140498,133,0.125828,1059,0
05-07-21,61-70 years,85753,0.100494,70,0.066225,2300,0
05-07-21,71-80 years,49479,0.057985,44,0.041627,3746,2
05-07-21,81+ years,25347,0.029704,9,0.008515,4563,0
05-07-21,Pending,1068,0.001252,0,0,0,0
05-06-21,0-10 years,47240,0.055429,77,0.095179,5,0
05-06-21,11-20 years,109995,0.129063,130,0.160692,5,0
05-06-21,21-30 years,154041,0.180745,140,0.173053,48,0
05-06-21,31-40 years,132659,0.155656,133,0.1644,128,0
05-06-21,41-50 years,127040,0.149063,105,0.12979,403,4
05-06-21,51-60 years,119756,0.140517,117,0.144623,1059,1
05-06-21,61-70 years,85683,0.100537,60,0.074166,2300,0
05-06-21,71-80 years,49435,0.058005,37,0.045735,3744,4
05-06-21,81+ years,25338,0.029731,9,0.011125,4563,2
05-06-21,Pending,1068,0.001253,1,0.001236,0,0
05-05-21,0-10 years,47163,0.055392,113,0.091350,5,0
05-05-21,11-20 years,109865,0.129033,195,0.157639,5,0
05-05-21,21-30 years,153901,0.180753,243,0.196443,48,0
05-05-21,31-40 years,132526,0.155648,188,0.151981,128,0
05-05-21,41-50 years,126935,0.149082,193,0.156023,399,2
05-05-21,51-60 years,119639,0.140513,155,0.125303,1058,1
05-05-21,61-70 years,85623,0.100562,94,0.075990,2300,4
05-05-21,71-80 years,49398,0.058017,34,0.027486,3740,7
05-05-21,81+ years,25329,0.029748,21,0.016977,4561,2
05-05-21,Pending,1067,0.001253,1,0.000808,0,0
05-04-21,0-10 years,47050,0.055339,54,0.061714,5,0
05-04-21,11-20 years,109670,0.128992,153,0.174857,5,0
05-04-21,21-30 years,153658,0.18073,173,0.197714,48,0
05-04-21,31-40 years,132338,0.155653,146,0.166857,128,0
05-04-21,41-50 years,126742,0.149072,121,0.138286,397,1
05-04-21,51-60 years,119484,0.140535,107,0.122286,1057,3
05-04-21,61-70 years,85529,0.100598,77,0.088,2296,3
05-04-21,71-80 years,49364,0.058061,26,0.029714,3733,2
05-04-21,81+ years,25308,0.029767,18,0.020571,4559,2
05-04-21,Pending,1066,0.001254,0,0,0,0
05-03-21,0-10 years,46996,0.055333,39,0.058559,5,0
05-03-21,11-20 years,109517,0.128945,93,0.13964,5,-1
05-03-21,21-30 years,153485,0.180712,129,0.193694,48,0
05-03-21,31-40 years,132192,0.155642,113,0.16967,128,0
05-03-21,41-50 years,126621,0.149083,95,0.142643,396,1
05-03-21,51-60 years,119377,0.140554,88,0.132132,1054,2
05-03-21,61-70 years,85452,0.100611,60,0.090090,2293,6
05-03-21,71-80 years,49338,0.058090,30,0.045045,3731,2
05-03-21,81+ years,25290,0.029776,18,0.027027,4557,3
05-03-21,Pending,1066,0.001255,1,0.001502,0,0
05-02-21,0-10 years,46957,0.055330,44,0.086957,5,0
05-02-21,11-20 years,109424,0.128936,91,0.179842,6,0
05-02-21,21-30 years,153356,0.180702,102,0.201581,48,0
05-02-21,31-40 years,132079,0.155631,69,0.136364,128,0
05-02-21,41-50 years,126526,0.149088,64,0.126482,395,0
05-02-21,51-60 years,119289,0.14056,72,0.142292,1052,1
05-02-21,61-70 years,85392,0.100619,40,0.079051,2287,0
05-02-21,71-80 years,49308,0.058100,20,0.039526,3729,0
05-02-21,81+ years,25272,0.029778,3,0.005929,4554,0
05-02-21,Pending,1065,0.001255,1,0.001976,0,0
05-01-21,0-10 years,46913,0.055311,55,0.088283,5,0
05-01-21,11-20 years,109333,0.128906,87,0.139647,6,0
05-01-21,21-30 years,153254,0.18069,107,0.17175,48,0
05-01-21,31-40 years,132010,0.155642,109,0.17496,128,0
05-01-21,41-50 years,126462,0.149101,96,0.154093,395,0
05-01-21,51-60 years,119217,0.140559,82,0.131621,1051,0
05-01-21,61-70 years,85352,0.100632,51,0.081862,2287,0
05-01-21,71-80 years,49288,0.058112,26,0.041734,3729,-1
05-01-21,81+ years,25269,0.029793,10,0.016051,4554,0
05-01-21,Pending,1064,0.001254,0,0,0,0
04-30-21,0-10 years,46858,0.055287,85,0.077626,5,0
04-30-21,11-20 years,109246,0.128898,194,0.177169,6,0
04-30-21,21-30 years,153147,0.180696,237,0.216438,48,0
04-30-21,31-40 years,131901,0.155628,185,0.16895,128,0
04-30-21,41-50 years,126366,0.149098,148,0.13516,395,0
04-30-21,51-60 years,119135,0.140566,118,0.107763,1051,2
04-30-21,61-70 years,85301,0.100646,72,0.065753,2287,2
04-30-21,71-80 years,49262,0.058124,35,0.031963,3730,1
04-30-21,81+ years,25259,0.029803,20,0.018265,4554,2
