DATE,AGE_RANGE,AR_TOTALCASES,AR_TOTALPERCENT,AR_NEWCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
05-12-21,0-10 years,47577,0.055553,87,0.093248,5,0
05-12-21,11-20 years,110658,0.129209,148,0.158628,5,0
05-12-21,21-30 years,154778,0.180725,166,0.177921,49,0
05-12-21,31-40 years,133390,0.155752,146,0.156484,135,3
05-12-21,41-50 years,127659,0.14906,132,0.141479,407,1
05-12-21,51-60 years,120299,0.140466,115,0.123258,1073,3
05-12-21,61-70 years,86006,0.100424,83,0.088960,2310,0
05-12-21,71-80 years,49599,0.057914,30,0.032154,3754,0
05-12-21,81+ years,25385,0.029641,19,0.020364,4567,2
05-12-21,Pending,1077,0.001258,7,0.007503,0,0
05-11-21,0-10 years,47490,0.055512,54,0.062937,5,0
05-11-21,11-20 years,110510,0.129177,120,0.13986,5,0
05-11-21,21-30 years,154612,0.180728,138,0.160839,49,1
05-11-21,31-40 years,133244,0.155751,167,0.194639,132,1
05-11-21,41-50 years,127527,0.149068,134,0.156177,406,0
05-11-21,51-60 years,120184,0.140485,121,0.141026,1070,3
05-11-21,61-70 years,85923,0.100437,71,0.082751,2310,1
05-11-21,71-80 years,49569,0.057942,47,0.054779,3754,-1
05-11-21,81+ years,25366,0.029651,6,0.006993,4565,-1
05-11-21,Pending,1070,0.001251,0,0,0,0
05-10-21,0-10 years,47436,0.055504,62,0.098413,5,0
05-10-21,11-20 years,110390,0.129166,96,0.152381,5,0
05-10-21,21-30 years,154474,0.180748,92,0.146032,48,0
05-10-21,31-40 years,133077,0.155712,100,0.15873,131,1
05-10-21,41-50 years,127393,0.149061,95,0.150794,406,1
05-10-21,51-60 years,120063,0.140484,98,0.155556,1067,3
05-10-21,61-70 years,85852,0.100454,44,0.069841,2309,6
05-10-21,71-80 years,49522,0.057945,27,0.042857,3755,4
05-10-21,81+ years,25360,0.029673,14,0.022222,4566,1
05-10-21,Pending,1070,0.001252,2,0.003175,0,0
