DATE,AGE_RANGE,AR_CASECOUNT,AR_TOTALPERCENT,NEW_ARCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
03-22-20,Pending,1,0,-3,-0.022388,,
03-23-20,0-10 years,9,0,3,0.027273,,
03-23-20,11-20 years,37,0.061056,7,0.063636,,
03-23-20,21-30 years,184,0.30363,22,0.2,,
03-23-20,31-40 years,116,0.191419,28,0.254545,,
03-23-20,41-50 years,82,0.135314,8,0.072727,,
03-23-20,51-60 years,83,0.136964,16,0.145455,,
03-23-20,61-70 years,55,0.090759,11,0.1,,
03-23-20,71-80 years,32,0.052805,7,0.063636,,
03-23-20,81+ years,11,0.018152,3,0.027273,,
03-23-20,Pending,6,0.009901,5,0.045455,,
03-24-20,0-10 years,9,0.014851,0,0,,
03-24-20,11-20 years,41,0.01,4,0.076923,,
03-24-20,21-30 years,193,0.02,9,0.173077,,
03-24-20,31-40 years,126,0.02,10,0.192308,,
03-24-20,41-50 years,89,0.01,7,0.134615,,
03-24-20,51-60 years,91,0.01,8,0.153846,,
03-24-20,61-70 years,65,0.01,10,0.192308,,
03-24-20,71-80 years,34,0,2,0.038462,,
03-24-20,81+ years,12,0,1,0.019231,,
03-24-20,Pending,7,0,1,0.019231,,
03-25-20,0-10 years,12,0.02,3,0.025641,,
03-25-20,11-20 years,46,0.06,5,0.042735,,
03-25-20,21-30 years,224,0.29,31,0.264957,,
03-25-20,31-40 years,144,0.18,18,0.153846,,
03-25-20,41-50 years,109,0.14,20,0.17094,,
03-25-20,51-60 years,105,0.13,14,0.119658,,
03-25-20,61-70 years,80,0.1,15,0.128205,,
03-25-20,71-80 years,43,0.05,9,0.076923,,
03-25-20,81+ years,14,0.02,2,0.017094,,
03-25-20,Pending,7,0.01,0,0,,
03-26-20,0-10 years,13,0.01,1,0.005780,,
03-26-20,11-20 years,56,0.06,10,0.057803,,
03-26-20,21-30 years,260,0.27,36,0.208092,,
03-26-20,31-40 years,161,0.17,17,0.098266,,
03-26-20,41-50 years,151,0.16,42,0.242775,,
03-26-20,51-60 years,141,0.15,36,0.208092,,
03-26-20,61-70 years,96,0.1,16,0.092486,,
03-26-20,71-80 years,56,0.06,13,0.075145,,
03-26-20,81+ years,16,0.02,2,0.011561,,
03-26-20,Pending,7,0.01,0,0,,
03-27-20,0-10 years,15,0.01,2,0.008130,,
03-27-20,11-20 years,63,0.05,7,0.028455,,
03-27-20,21-30 years,314,0.26,54,0.219512,,
03-27-20,31-40 years,194,0.16,33,0.134146,,
03-27-20,41-50 years,196,0.16,45,0.182927,,
03-27-20,51-60 years,191,0.16,50,0.203252,,
03-27-20,61-70 years,126,0.1,30,0.121951,,
03-27-20,71-80 years,75,0.06,19,0.077236,,
03-27-20,81+ years,20,0.02,4,0.01626,,
03-27-20,Pending,9,0.01,2,0.008130,,
03-28-20,0-10 years,16,0.01,1,0.005882,,
03-28-20,11-20 years,71,0.05,8,0.047059,,
03-28-20,21-30 years,346,0.25,32,0.188235,,
03-28-20,31-40 years,221,0.16,27,0.158824,,
03-28-20,41-50 years,224,0.16,28,0.164706,,
03-28-20,51-60 years,218,0.16,27,0.158824,,
03-28-20,61-70 years,153,0.11,27,0.158824,,
03-28-20,71-80 years,87,0.06,12,0.070588,,
03-28-20,81+ years,28,0.02,8,0.047059,,
03-28-20,Pending,9,0.01,0,0,,
03-29-20,0-10 years,17,0.01,1,0.006098,,
03-29-20,11-20 years,80,0.05,9,0.054878,,
03-29-20,21-30 years,380,0.25,34,0.207317,,
03-29-20,31-40 years,239,0.16,18,0.109756,,
03-29-20,41-50 years,262,0.17,38,0.231707,,
03-29-20,51-60 years,239,0.16,21,0.128049,,
03-29-20,61-70 years,176,0.11,23,0.140244,,
03-29-20,71-80 years,97,0.06,10,0.060976,,
03-29-20,81+ years,33,0.02,5,0.030488,,
03-29-20,Pending,14,0.01,5,0.030488,,
03-30-20,0-10 years,18,0.01,1,0.003367,,
03-30-20,11-20 years,96,0.05,16,0.053872,,
03-30-20,21-30 years,462,0.25,82,0.276094,,
03-30-20,31-40 years,286,0.16,47,0.158249,,
03-30-20,41-50 years,299,0.16,37,0.124579,,
03-30-20,51-60 years,280,0.15,41,0.138047,,
03-30-20,61-70 years,212,0.12,36,0.121212,,
03-30-20,71-80 years,120,0.07,23,0.077441,,
03-30-20,81+ years,50,0.03,17,0.057239,,
03-30-20,Pending,11,0.01,-3,-0.010101,,
03-31-20,0-10 years,24,0.01,6,0.014815,,
03-31-20,11-20 years,107,0.05,11,0.027160,,
03-31-20,21-30 years,566,0.25,104,0.25679,,
03-31-20,31-40 years,346,0.15,60,0.148148,,
03-31-20,41-50 years,351,0.16,52,0.128395,,
03-31-20,51-60 years,368,0.16,88,0.217284,,
03-31-20,61-70 years,254,0.11,42,0.103704,,
03-31-20,71-80 years,144,0.06,24,0.059259,,
03-31-20,81+ years,63,0.03,13,0.032099,,
03-31-20,Pending,16,0.01,5,0.012346,,
04-01-20,0-10 years,33,0.01,9,0.018072,,
04-01-20,11-20 years,131,0.05,24,0.048193,,
04-01-20,21-30 years,637,0.23,71,0.14257,,
04-01-20,31-40 years,426,0.16,80,0.160643,,
04-01-20,41-50 years,471,0.17,120,0.240964,,
04-01-20,51-60 years,456,0.17,88,0.176707,,
04-01-20,61-70 years,308,0.11,54,0.108434,,
04-01-20,71-80 years,175,0.06,31,0.062249,,
04-01-20,81+ years,79,0.03,16,0.032129,,
04-01-20,Pending,21,0.01,5,0.010040,,
04-02-20,0-10 years,36,0.01,3,0.027778,,
04-02-20,11-20 years,138,0.05,7,0.064815,,
04-02-20,21-30 years,665,0.23,28,0.259259,,
04-02-20,31-40 years,456,0.16,30,0.277778,,
04-02-20,41-50 years,437,0.15,-34,-0.314815,,
04-02-20,51-60 years,484,0.17,28,0.259259,,
04-02-20,61-70 years,331,0.12,23,0.212963,,
04-02-20,71-80 years,184,0.06,9,0.083333,,
04-02-20,81+ years,97,0.03,18,0.166667,,
04-02-20,Pending,17,0.01,-4,-0.037037,,
04-03-20,0-10 years,39,0.01,3,0.013514,,
04-03-20,11-20 years,148,0.05,10,0.045045,,
04-03-20,21-30 years,693,0.23,28,0.126126,,
04-03-20,31-40 years,494,0.16,38,0.171171,,
04-03-20,41-50 years,474,0.15,37,0.166667,,
04-03-20,51-60 years,544,0.18,60,0.27027,,
04-03-20,61-70 years,359,0.12,28,0.126126,,
04-03-20,71-80 years,196,0.06,12,0.054054,,
04-03-20,81+ years,105,0.03,8,0.036036,,
04-03-20,Pending,15,0,-2,-0.009009,,
04-04-20,0-10 years,43,0.01,4,0.015748,,
04-04-20,11-20 years,158,0.05,10,0.039370,,
04-04-20,21-30 years,744,0.22,51,0.200787,,
04-04-20,31-40 years,543,0.16,49,0.192913,,
04-04-20,41-50 years,510,0.15,36,0.141732,,
04-04-20,51-60 years,593,0.18,49,0.192913,,
04-04-20,61-70 years,391,0.12,32,0.125984,,
04-04-20,71-80 years,205,0.06,9,0.035433,,
04-04-20,81+ years,107,0.03,2,0.007874,,
04-04-20,Pending,27,0.01,12,0.047244,,
04-05-20,0-10 years,42,0.01,-1,-0.003205,,
04-05-20,11-20 years,171,0.05,13,0.041667,,
04-05-20,21-30 years,815,0.22,71,0.227564,,
04-05-20,31-40 years,608,0.17,65,0.208333,,
04-05-20,41-50 years,565,0.16,55,0.176282,,
04-05-20,51-60 years,644,0.18,51,0.163462,,
04-05-20,61-70 years,431,0.12,40,0.128205,,
04-05-20,71-80 years,215,0.06,10,0.032051,,
04-05-20,81+ years,118,0.03,11,0.035256,,
04-05-20,Pending,24,0.01,-3,-0.009615,,
04-06-20,0-10 years,45,0.01,3,0.017751,,
04-06-20,11-20 years,183,0.05,12,0.071006,,
04-06-20,21-30 years,846,0.22,31,0.183432,,
04-06-20,31-40 years,627,0.16,19,0.112426,,
04-06-20,41-50 years,587,0.15,22,0.130178,,
04-06-20,51-60 years,679,0.18,35,0.207101,,
04-06-20,61-70 years,454,0.12,23,0.136095,,
04-06-20,71-80 years,232,0.06,17,0.100592,,
04-06-20,81+ years,122,0.03,4,0.023669,,
04-06-20,Pending,27,0.01,3,0.017751,,
04-07-20,0-10 years,52,0.01,7,0.020833,,
04-07-20,11-20 years,198,0.05,15,0.044643,,
04-07-20,21-30 years,905,0.22,59,0.175595,,
04-07-20,31-40 years,684,0.17,57,0.169643,,
04-07-20,41-50 years,639,0.15,52,0.154762,,
04-07-20,51-60 years,755,0.18,76,0.22619,,
04-07-20,61-70 years,508,0.12,54,0.160714,,
04-07-20,71-80 years,251,0.06,19,0.056548,,
04-07-20,81+ years,124,0.03,2,0.005952,,
04-07-20,Pending,22,0.01,-5,-0.014881,,
04-08-20,0-10 years,53,0.01,1,0.004464,,
04-08-20,11-20 years,208,0.05,10,0.044643,,
04-08-20,21-30 years,943,0.22,38,0.169643,,
04-08-20,31-40 years,705,0.16,21,0.09375,,
04-08-20,41-50 years,674,0.15,35,0.15625,,
04-08-20,51-60 years,803,0.18,48,0.214286,,
04-08-20,61-70 years,542,0.12,34,0.151786,,
04-08-20,71-80 years,268,0.06,17,0.075893,,
04-08-20,81+ years,143,0.03,19,0.084821,,
04-08-20,Pending,23,0.01,1,0.004464,,
04-09-20,0-10 years,51,0.01,-2,-0.007353,1,
04-09-20,11-20 years,218,0.05,10,0.036765,0,
04-09-20,21-30 years,991,0.21,48,0.176471,1,
04-09-20,31-40 years,747,0.16,42,0.154412,1,
04-09-20,41-50 years,730,0.16,56,0.205882,5,
04-09-20,51-60 years,845,0.18,42,0.154412,9,
04-09-20,61-70 years,586,0.13,44,0.161765,23,
04-09-20,71-80 years,288,0.06,20,0.073529,24,
04-09-20,81+ years,156,0.03,13,0.047794,30,
04-09-20,Pending,22,0,-1,-0.003676,0,
04-10-20,0-10 years,54,0.01,3,0.013158,1,0
04-10-20,11-20 years,226,0.05,8,0.035088,0,0
04-10-20,21-30 years,1024,0.21,33,0.144737,1,0
04-10-20,31-40 years,785,0.16,38,0.166667,1,0
04-10-20,41-50 years,779,0.16,49,0.214912,5,0
04-10-20,51-60 years,899,0.18,54,0.236842,9,0
04-10-20,61-70 years,613,0.13,27,0.118421,26,3
04-10-20,71-80 years,303,0.06,15,0.065789,24,0
04-10-20,81+ years,162,0.03,6,0.026316,31,1
04-10-20,Pending,17,0,-5,-0.021930,0,0
04-11-20,0-10 years,56,0.01,2,0.007937,1,0
04-11-20,11-20 years,240,0.05,14,0.055556,0,0
04-11-20,21-30 years,1066,0.21,42,0.166667,1,0
04-11-20,31-40 years,827,0.16,42,0.166667,1,0
04-11-20,41-50 years,834,0.16,55,0.218254,5,0
04-11-20,51-60 years,940,0.18,41,0.162698,9,0
04-11-20,61-70 years,635,0.12,22,0.087302,27,1
04-11-20,71-80 years,320,0.06,17,0.067460,25,1
04-11-20,81+ years,179,0.04,17,0.067460,32,1
04-11-20,Pending,17,0,0,0,0,0
04-12-20,0-10 years,61,0.01,5,0.025773,1,0
04-12-20,11-20 years,248,0.05,8,0.041237,0,0
04-12-20,21-30 years,1112,0.21,46,0.237113,1,0
04-12-20,31-40 years,851,0.16,24,0.123711,1,0
04-12-20,41-50 years,866,0.16,32,0.164948,5,0
04-12-20,51-60 years,986,0.19,46,0.237113,9,0
04-12-20,61-70 years,665,0.13,30,0.154639,27,0
04-12-20,71-80 years,328,0.06,8,0.041237,25,0
04-12-20,81+ years,178,0.03,-1,-0.005155,32,0
04-12-20,Pending,13,0,-4,-0.020619,0,0
04-13-20,0-10 years,63,0.01,2,0.006623,1,0
04-13-20,11-20 years,258,0.05,10,0.033113,0,0
04-13-20,21-30 years,1155,0.21,43,0.142384,1,0
04-13-20,31-40 years,918,0.16,67,0.221854,1,0
04-13-20,41-50 years,925,0.16,59,0.195364,6,1
04-13-20,51-60 years,1047,0.19,61,0.201987,9,0
04-13-20,61-70 years,699,0.12,34,0.112583,28,1
04-13-20,71-80 years,344,0.06,16,0.052980,28,3
04-13-20,81+ years,190,0.03,12,0.039735,35,3
04-13-20,Pending,11,0,-2,-0.006623,0,0
04-14-20,0-10 years,68,0.01,5,0.023474,1,0
04-14-20,11-20 years,270,0.05,12,0.056338,0,0
04-14-20,21-30 years,1189,0.2,34,0.159624,1,0
04-14-20,31-40 years,954,0.16,36,0.169014,1,0
04-14-20,41-50 years,965,0.17,40,0.187793,7,1
04-14-20,51-60 years,1074,0.18,27,0.126761,11,2
04-14-20,61-70 years,731,0.13,32,0.150235,29,1
04-14-20,71-80 years,353,0.06,9,0.042254,32,4
04-14-20,81+ years,199,0.03,9,0.042254,42,7
04-14-20,Pending,20,0,9,0.042254,0,0
04-15-20,0-10 years,70,0.01,2,0.007812,1,0
04-15-20,11-20 years,272,0.04,2,0.007812,0,0
04-15-20,21-30 years,1189,0.2,0,0,1,0
04-15-20,31-40 years,958,0.16,4,0.015625,1,0
04-15-20,41-50 years,969,0.16,4,0.015625,7,0
04-15-20,51-60 years,1076,0.18,2,0.007812,14,3
04-15-20,61-70 years,731,0.12,0,0,34,5
04-15-20,71-80 years,353,0.06,0,0,33,1
04-15-20,81+ years,197,0.03,-2,-0.007812,44,2
04-15-20,Pending,264,0.04,244,0.953125,0,0
04-16-20,0-10 years,73,0.01,3,0.016393,1,0
04-16-20,11-20 years,302,0.05,30,0.163934,0,0
04-16-20,21-30 years,1266,0.2,77,0.420765,1,0
04-16-20,31-40 years,1037,0.17,79,0.431694,1,0
04-16-20,41-50 years,1061,0.17,92,0.502732,7,0
04-16-20,51-60 years,1152,0.18,76,0.415301,14,0
04-16-20,61-70 years,772,0.12,41,0.224044,34,0
04-16-20,71-80 years,371,0.06,18,0.098361,34,1
04-16-20,81+ years,208,0.03,11,0.060109,49,5
04-16-20,Pending,20,0,-244,-1.333333,0,0
04-17-20,0-10 years,84,0.01,11,0.033639,1,0
04-17-20,11-20 years,327,0.05,25,0.076453,0,0
04-17-20,21-30 years,1323,0.2,57,0.174312,1,0
04-17-20,31-40 years,1101,0.17,64,0.195719,1,0
04-17-20,41-50 years,1109,0.17,48,0.146789,7,0
04-17-20,51-60 years,1213,0.18,61,0.186544,14,0
04-17-20,61-70 years,813,0.12,41,0.125382,34,0
04-17-20,71-80 years,386,0.06,15,0.045872,36,2
04-17-20,81+ years,211,0.03,3,0.009174,48,-1
04-17-20,Pending,22,0,2,0.006116,0,0
04-18-20,0-10 years,84,0.01,0,0,1,0
04-18-20,11-20 years,342,0.05,15,0.086705,0,0
04-18-20,21-30 years,1353,0.2,30,0.17341,1,0
04-18-20,31-40 years,1144,0.17,43,0.248555,1,0
04-18-20,41-50 years,1138,0.17,29,0.16763,7,0
04-18-20,51-60 years,1236,0.18,23,0.132948,14,0
04-18-20,61-70 years,821,0.12,8,0.046243,35,1
04-18-20,71-80 years,401,0.06,15,0.086705,38,2
04-18-20,81+ years,220,0.03,9,0.052023,48,0
04-18-20,Pending,23,0,1,0.005780,0,0
04-19-20,0-10 years,98,0.01,14,0.045455,1,0
04-19-20,11-20 years,379,0.05,37,0.12013,0,0
04-19-20,21-30 years,1422,0.2,69,0.224026,1,0
04-19-20,31-40 years,1205,0.17,61,0.198052,1,0
04-19-20,41-50 years,1194,0.17,56,0.181818,8,1
04-19-20,51-60 years,1282,0.18,46,0.149351,14,0
04-19-20,61-70 years,842,0.12,21,0.068182,36,1
04-19-20,71-80 years,404,0.06,3,0.009740,39,1
04-19-20,81+ years,228,0.03,8,0.025974,48,0
04-19-20,Pending,16,0,-7,-0.022727,0,0
04-20-20,0-10 years,99,0.01,1,0.005952,1,0
04-20-20,11-20 years,386,0.05,7,0.041667,0,0
04-20-20,21-30 years,1455,0.2,33,0.196429,1,0
04-20-20,31-40 years,1248,0.17,43,0.255952,1,0
04-20-20,41-50 years,1235,0.17,41,0.244048,9,1
04-20-20,51-60 years,1311,0.18,29,0.172619,15,1
04-20-20,61-70 years,856,0.12,14,0.083333,36,0
04-20-20,71-80 years,407,0.06,3,0.017857,40,1
04-20-20,81+ years,231,0.03,3,0.017857,49,1
04-20-20,Pending,10,0,-6,-0.035714,0,0
04-21-20,0-10 years,107,0.01,8,0.051282,1,0
04-21-20,11-20 years,403,0.05,17,0.108974,0,0
04-21-20,21-30 years,1471,0.2,16,0.102564,1,0
04-21-20,31-40 years,1271,0.17,23,0.147436,1,0
04-21-20,41-50 years,1262,0.17,27,0.173077,9,0
04-21-20,51-60 years,1344,0.18,33,0.211538,15,0
04-21-20,61-70 years,870,0.12,14,0.089744,37,1
04-21-20,71-80 years,417,0.06,10,0.064103,41,1
04-21-20,81+ years,242,0.03,11,0.070513,52,3
04-21-20,Pending,7,0,-3,-0.019231,0,0
04-22-20,0-10 years,115,0.01,8,0.017857,1,0
04-22-20,11-20 years,432,0.06,29,0.064732,0,0
04-22-20,21-30 years,1568,0.2,97,0.216518,2,1
04-22-20,31-40 years,1358,0.17,87,0.194196,1,0
04-22-20,41-50 years,1370,0.17,108,0.241071,10,1
04-22-20,51-60 years,1407,0.18,63,0.140625,15,0
04-22-20,61-70 years,900,0.11,30,0.066964,38,1
04-22-20,71-80 years,430,0.05,13,0.029018,45,4
04-22-20,81+ years,252,0.03,10,0.022321,54,2
04-22-20,Pending,10,0,3,0.006696,0,0
04-23-20,0-10 years,122,0.014759,7,0.016509,1,0
04-23-20,11-20 years,443,0.053593,11,0.025943,0,0
04-23-20,21-30 years,1641,0.198524,73,0.17217,2,0
04-23-20,31-40 years,1415,0.171183,57,0.134434,1,0
04-23-20,41-50 years,1418,0.171546,48,0.113208,10,0
04-23-20,51-60 years,1450,0.175417,43,0.101415,15,0
04-23-20,61-70 years,916,0.110815,16,0.037736,40,2
04-23-20,71-80 years,445,0.053835,15,0.035377,46,1
04-23-20,81+ years,264,0.031938,12,0.028302,55,1
04-23-20,Pending,152,0.018389,142,0.334906,0,0
04-24-20,0-10 years,130,0.014898,8,0.017391,1,0
04-24-20,11-20 years,461,0.052831,18,0.039130,0,0
04-24-20,21-30 years,1671,0.191497,30,0.065217,1,-1
04-24-20,31-40 years,1450,0.16617,35,0.076087,1,0
04-24-20,41-50 years,1451,0.166285,33,0.071739,10,0
04-24-20,51-60 years,1480,0.169608,30,0.065217,15,0
04-24-20,61-70 years,935,0.107151,19,0.041304,40,0
04-24-20,71-80 years,459,0.052601,14,0.030435,45,-1
04-24-20,81+ years,274,0.0314,10,0.021739,55,0
04-24-20,Pending,415,0.047559,263,0.571739,0,0
04-25-20,0-10 years,145,0.015780,15,0.032397,1,0
04-25-20,11-20 years,517,0.056263,56,0.12095,0,0
04-25-20,21-30 years,1742,0.189574,71,0.153348,1,0
04-25-20,31-40 years,1536,0.167156,86,0.185745,1,0
04-25-20,41-50 years,1531,0.166612,80,0.172786,10,0
04-25-20,51-60 years,1542,0.167809,62,0.133909,15,0
04-25-20,61-70 years,970,0.105561,35,0.075594,42,2
04-25-20,71-80 years,481,0.052345,22,0.047516,50,5
04-25-20,81+ years,291,0.031668,17,0.036717,58,3
04-25-20,Pending,434,0.047230,19,0.041037,0,0
04-26-20,0-10 years,158,0.016344,13,0.027197,1,0
04-26-20,11-20 years,567,0.058653,50,0.104603,0,0
04-26-20,21-30 years,1870,0.193442,128,0.267782,1,0
04-26-20,31-40 years,1630,0.168615,94,0.196653,2,1
04-26-20,41-50 years,1608,0.166339,77,0.161088,10,0
04-26-20,51-60 years,1592,0.164684,50,0.104603,15,0
04-26-20,61-70 years,1001,0.103548,31,0.064854,42,0
04-26-20,71-80 years,497,0.051412,16,0.033473,50,0
04-26-20,81+ years,311,0.032171,20,0.041841,60,2
04-26-20,Pending,433,0.044792,-1,-0.002092,0,0
04-27-20,0-10 years,166,0.016737,8,0.031873,1,0
04-27-20,11-20 years,594,0.059891,27,0.10757,0,0
04-27-20,21-30 years,1913,0.192882,43,0.171315,1,0
04-27-20,31-40 years,1670,0.168381,40,0.159363,2,0
04-27-20,41-50 years,1650,0.166364,42,0.167331,10,0
04-27-20,51-60 years,1624,0.163743,32,0.12749,15,0
04-27-20,61-70 years,1025,0.103347,24,0.095618,42,0
04-27-20,71-80 years,517,0.052127,20,0.079681,50,0
04-27-20,81+ years,336,0.033878,25,0.099602,63,3
04-27-20,Pending,423,0.042650,-10,-0.039841,0,0
04-28-20,0-10 years,171,0.017012,5,0.037313,1,0
04-28-20,11-20 years,599,0.059590,5,0.037313,0,0
04-28-20,21-30 years,1928,0.191803,15,0.11194,1,0
04-28-20,31-40 years,1692,0.168325,22,0.164179,2,0
04-28-20,41-50 years,1668,0.165937,18,0.134328,10,0
04-28-20,51-60 years,1651,0.164246,27,0.201493,15,0
04-28-20,61-70 years,1051,0.104556,26,0.19403,44,2
04-28-20,71-80 years,530,0.052726,13,0.097015,50,0
04-28-20,81+ years,341,0.033924,5,0.037313,65,2
04-28-20,Pending,421,0.041882,-2,-0.014925,0,0
04-29-20,0-10 years,180,0.017364,9,0.028662,1,0
04-29-20,11-20 years,614,0.059232,15,0.047771,0,0
04-29-20,21-30 years,1980,0.191009,52,0.165605,1,0
04-29-20,31-40 years,1768,0.170558,76,0.242038,2,0
04-29-20,41-50 years,1734,0.167278,66,0.210191,10,0
04-29-20,51-60 years,1714,0.165348,63,0.200637,15,0
04-29-20,61-70 years,1072,0.103415,21,0.066879,45,1
04-29-20,71-80 years,546,0.052672,16,0.050955,53,3
04-29-20,81+ years,354,0.03415,13,0.041401,68,3
04-29-20,Pending,404,0.038974,-17,-0.05414,0,0
04-30-20,0-10 years,204,0.019003,24,0.065041,1,0
04-30-20,11-20 years,647,0.060270,33,0.089431,0,0
04-30-20,21-30 years,2104,0.195994,124,0.336043,1,0
04-30-20,31-40 years,1958,0.182394,190,0.514905,3,1
04-30-20,41-50 years,1892,0.176246,158,0.428184,10,0
04-30-20,51-60 years,1836,0.171029,122,0.330623,15,0
04-30-20,61-70 years,1128,0.105077,56,0.151762,46,1
04-30-20,71-80 years,566,0.052725,20,0.054201,52,-1
04-30-20,81+ years,359,0.033442,5,0.01355,71,3
04-30-20,Pending,41,0.003819,-363,-0.98374,0,0
05-01-20,0-10 years,220,0.018501,16,0.013841,1,0
05-01-20,11-20 years,682,0.057354,35,0.030277,1,1
05-01-20,21-30 years,2371,0.199395,267,0.230969,1,0
05-01-20,31-40 years,2254,0.189555,296,0.256055,3,0
05-01-20,41-50 years,2128,0.178959,236,0.204152,10,0
05-01-20,51-60 years,1987,0.167101,151,0.130623,16,1
05-01-20,61-70 years,1202,0.101085,74,0.064014,46,0
05-01-20,71-80 years,587,0.049365,21,0.018166,53,1
05-01-20,81+ years,371,0.031200,12,0.010381,73,2
05-01-20,Pending,89,0.007485,48,0.041522,0,0
05-02-20,0-10 years,239,0.018877,19,0.024675,1,0
05-02-20,11-20 years,724,0.057183,42,0.054545,1,0
05-02-20,21-30 years,2523,0.199273,152,0.197403,1,0
05-02-20,31-40 years,2440,0.192718,186,0.241558,3,0
05-02-20,41-50 years,2262,0.178659,134,0.174026,10,0
05-02-20,51-60 years,2068,0.163336,81,0.105195,16,0
05-02-20,61-70 years,1257,0.099281,55,0.071429,47,1
05-02-20,71-80 years,612,0.048337,25,0.032468,54,1
05-02-20,81+ years,385,0.030408,14,0.018182,75,2
05-02-20,Pending,151,0.011926,62,0.080519,1,1
05-03-20,0-10 years,274,0.020794,35,0.067829,1,0
05-03-20,11-20 years,768,0.058283,44,0.085271,1,0
05-03-20,21-30 years,2615,0.198452,92,0.178295,1,0
05-03-20,31-40 years,2540,0.19276,100,0.193798,3,0
05-03-20,41-50 years,2350,0.178341,88,0.170543,10,0
05-03-20,51-60 years,2155,0.163543,87,0.168605,16,0
05-03-20,61-70 years,1302,0.098809,45,0.087209,47,0
05-03-20,71-80 years,631,0.047886,19,0.036822,55,1
05-03-20,81+ years,393,0.029825,8,0.015504,76,1
05-03-20,Pending,149,0.011308,-2,-0.003876,0,-1
05-04-20,0-10 years,281,0.020706,7,0.017766,1,0
05-04-20,11-20 years,806,0.059391,38,0.096447,1,0
05-04-20,21-30 years,2669,0.196669,54,0.137056,1,0
05-04-20,31-40 years,2582,0.190259,42,0.106599,3,0
05-04-20,41-50 years,2405,0.177216,55,0.139594,10,0
05-04-20,51-60 years,2207,0.162626,52,0.13198,17,1
05-04-20,61-70 years,1339,0.098666,37,0.093909,50,3
05-04-20,71-80 years,659,0.048559,28,0.071066,59,4
05-04-20,81+ years,407,0.02999,14,0.035533,77,1
05-04-20,Pending,216,0.015916,67,0.170051,0,0
05-05-20,0-10 years,290,0.021183,9,0.075630,1,0
05-05-20,11-20 years,817,0.059679,11,0.092437,1,0
05-05-20,21-30 years,2685,0.196129,16,0.134454,1,0
05-05-20,31-40 years,2604,0.190212,22,0.184874,3,0
05-05-20,41-50 years,2421,0.176844,16,0.134454,10,0
05-05-20,51-60 years,2228,0.162747,21,0.176471,17,0
05-05-20,61-70 years,1355,0.098977,16,0.134454,51,1
05-05-20,71-80 years,664,0.048503,5,0.042017,62,3
05-05-20,81+ years,414,0.030241,7,0.058824,80,3
05-05-20,Pending,212,0.015486,-4,-0.033613,0,0
05-06-20,0-10 years,304,0.021811,14,0.044304,1,0
05-06-20,11-20 years,868,0.062276,51,0.161392,1,0
05-06-20,21-30 years,2753,0.197518,68,0.21519,1,0
05-06-20,31-40 years,2655,0.190486,51,0.161392,3,0
05-06-20,41-50 years,2470,0.177213,49,0.155063,10,0
05-06-20,51-60 years,2263,0.162362,35,0.110759,19,2
05-06-20,61-70 years,1381,0.099082,26,0.082278,52,1
05-06-20,71-80 years,676,0.048501,12,0.037975,68,6
05-06-20,81+ years,424,0.030420,10,0.031646,84,4
05-06-20,Pending,212,0.015210,0,0,0,0
