nces_school_id,school_id,nces_district_id,district_id,low_grade,high_grade,school_name,street_address,city,state,zip,zip_4-digit,phone,locale_code,charter,magnet,title_i_school,title_1_school_wide,students,teachers,student_teacher_ratio,free_lunch,reduced_lunch,county_fips
470333001977,TN-00670-0065,4703330,TN-00670,PK,4,A H Roberts Elementary,301 Zachary ST,Livingston,TN,38570,,(931)823-5551,33.0,0,0,0,0,370.0,27.8,13.3,,,47133
470222000076,TN-00470-0066,4702220,TN-00470,PK,5,A L Lotts Elementary,9320 Westland DR,Knoxville,TN,37922,,(865)539-8611,21.0,0,0,0,0,971.0,54.4,17.8,,,47093
470014801011,TN-00792-2005,4700148,TN-00792,PK,5,A. B. Hill Elementary,345 East Olive AVE,Memphis,TN,38106,,(901)416-7844,11.0,0,0,0,0,300.0,26.3,11.4,,,47157
470014801939,TN-00792-2740,4700148,TN-00792,6,8,A. Maceo Walker Middle,1900 East Raines RD,Memphis,TN,38116,,(901)416-1030,11.0,0,0,0,0,740.0,35.8,20.7,,,47157
470318002116,TN-00190-0001,4703180,TN-00190,PK,4,A. Z. Kelley Elementary,5834 Pettus RD,Antioch,TN,37013,,(615)941-7535,11.0,0,0,0,0,835.0,58.0,14.4,,,47037
470219000710,TN-00822-0030,4702190,TN-00822,PK,5,Abraham Lincoln Elementary School,1000 Summer ST,Kingsport,TN,37664,,(423)378-2360,13.0,0,0,0,0,434.0,30.3,14.3,,,47163
470288000997,TN-00550-0005,4702880,TN-00550,PK,8,Adamsville Elementary,P. O. Box 335,Adamsville,TN,38310,,(731)439-4137,42.0,0,0,0,0,530.0,37.0,14.3,,,47109
470288000998,TN-00550-0010,4702880,TN-00550,9,12,Adamsville High School,P. O. Box 407,Adamsville,TN,38310,,(731)439-4122,42.0,0,0,0,0,716.0,48.0,14.9,,,47109
470222000717,TN-00470-0003,4702220,TN-00470,PK,5,Adrian Burnett Elementary,4521 Brown Gap RD,Knoxville,TN,37918,,(865)689-1474,21.0,0,0,0,0,528.0,38.0,13.9,,,47093
470003000001,TN-00171-0005,4700030,TN-00171,PK,6,Alamo Elementary,265 E Park ST,Alamo,TN,38001,,(731)696-5515,32.0,0,0,0,0,642.0,41.0,15.7,,,47033
470006000234,TN-00051-0005,4700060,TN-00051,PK,2,Alcoa Elementary,1200 Springbrook RD,Alcoa,TN,37701,,(865)982-3120,21.0,0,0,0,0,489.0,31.9,15.3,,,47009
470006000235,TN-00051-0010,4700060,TN-00051,9,12,Alcoa High School,1205 Lodge ST,Alcoa,TN,37701,,(865)983-3247,21.0,0,0,0,0,682.0,39.2,17.4,,,47009
470006002445,TN-00051-0012,4700060,TN-00051,3,5,Alcoa Intermediate School,1325 Springbrook RD,Alcoa,TN,37701,,(865)982-4767,21.0,0,0,0,0,435.0,23.0,18.9,,,47009
470006000236,TN-00051-0006,4700060,TN-00051,6,8,Alcoa Middle School,532 Faraday ST,Alcoa,TN,37701,,(865)982-5211,21.0,0,0,0,0,489.0,25.0,19.6,,,47009
