hash,date_stamp,datetime_checked,us_state_postal,us_state_fips,cnt_tested_pos,cnt_tested_pos_new,cnt_tested_neg,cnt_tested_neg_new,cnt_tested_pending,cnt_recovered,cnt_death,cnt_death_new,cnt_hospitalized,cnt_hospitalized_new,cnt_hospitalized_current,cnt_icu_current,cnt_icu_total,cnt_vent_current,cnt_vent_total,cnt_tested,cnt_tested_new
74506565ff9f0d6621e232e1e62239d658786e81,2020-06-25,2020-06-25 00:00:00,AK,02,816,24,98636,3332,,513,12,0,,0,14,,,2,,99452,3356
17d9d87e1df190897ce93d3fcbb382e6dac460e3,2020-06-25,2020-06-25 11:00:00,AL,01,33206,1142,336252,9557,,18866,896,5,2612,45,693,,761,,447,369458,10699
651dd04526a06699eef6c83fc27f1850be5e46cb,2020-06-25,2020-06-25 15:20:00,AR,05,18062,687,259318,4827,,12127,240,0,1245,31,284,,,61,194,277380,5514
191bf0110e14794659c0c2f75b655e51fc2b9fb7,2020-06-25,2020-06-25 00:00:00,AS,60,0,0,696,522,,,0,0,,0,,,,,,696,522
1ac05d6977f2752d59425412bbb0a63897260ea0,2020-06-25,2020-06-25 00:00:00,AZ,04,63030,3056,401166,11952,,8139,1490,27,4406,93,2453,611,,415,,464196,15008
e8520cf2041e9558b109ed92f19cac8d8ada6368,2020-06-25,2020-06-25 00:00:00,CA,06,195571,5349,3498774,96097,,,5733,101,,0,5522,1523,,,,3694345,101446
06c556409caa106b8cd11f747ff021c3e1eed561,2020-06-25,2020-06-24 00:00:00,CO,08,31155,262,264910,4969,,4392,1667,2,5375,9,247,,,,,296065,5231
6093b852ede6c3e7ce55e1d050232e97dfaf2e04,2020-06-25,2020-06-24 20:30:00,CT,09,45994,81,362949,6512,,8053,4298,11,10268,169,122,,,,,408943,6593
835b7ff41f2d670ae1137c332ac845a50727e362,2020-06-25,2020-06-24 00:00:00,DC,11,10159,31,76572,2527,,1182,543,2,,0,157,53,,34,,86731,2558
631b4f4a37d08b5260233819c11f70245998d61e,2020-06-25,2020-06-24 18:00:00,DE,10,10980,91,90012,2700,,6646,507,2,,0,93,,,,,100992,2791
a9834cbc0366267824a55064540f34b09bf498d0,2020-06-25,2020-06-24 23:59:00,FL,12,114018,5004,1606626,47298,1675,,3423,46,14068,203,,,,,,1720644,52302
f6b35a631006114f816831f670a7d182e7967c60,2020-06-25,2020-06-25 14:50:00,GA,13,71095,1714,686829,12976,,,2745,47,10457,144,1135,,2222,,,757924,14690
07dcb3f91424e3fc3e8e363cfc908e04d9ab4012,2020-06-25,2020-06-25 07:15:00,GU,66,245,14,11173,366,,174,5,0,,0,0,0,,0,,11418,380
dc7c7fbc0eb0e99446ebb03d4271b870ad65bd5d,2020-06-25,2020-06-24 18:00:00,HI,15,835,16,71100,1380,,686,17,0,105,1,,,,,,71935,1396
5291c673b48de7b7e37daac383d331ab6aeab630,2020-06-25,2020-06-25 00:00:00,IA,19,27197,492,249857,6603,,17017,695,3,,0,137,42,,26,,277054,7095
033a64bbd100c3579a20fb73d6ef30e41ab492a2,2020-06-25,2020-06-25 00:00:00,ID,16,4645,243,75894,2461,,3610,90,1,300,2,,,106,,,80539,2704
f40898679ac01a90f8ecc396a1b6ec388a7d1256,2020-06-25,2020-06-25 00:00:00,IL,17,140434,894,1321093,30792,,,7014,40,,0,1626,399,,216,,1461527,31686
